timestamp,letter,A1_v1,A1_v2,A1_v3,A1_v4,A1_v5,A1_v6,A1_v7,A2_v1,A2_v2,A2_v3,A2_v4,A2_v5,A2_v6,A2_v7
2025-12-10T23:38:47.837432,A,-5.0542,-0.5130,-1.4215,-1.1927,-1.3488,-0.79,0.42,-1.8769,-1.8135,-1.0625,0.2836,-1.4631,-0.63,0.64
2025-12-10T23:38:47.837432,A,-5.0169,-0.4690,-1.4074,-1.3820,-1.2888,-0.80,0.44,-1.8307,-1.7659,-0.9982,0.2639,-1.4094,-0.60,0.69
2025-12-10T23:38:47.837432,A,-5.0434,-0.4303,-1.3948,-1.3385,-1.3858,-0.80,0.46,-1.7595,-1.7533,-0.9265,0.5306,-1.4066,-0.58,0.67
2025-12-10T23:38:47.837432,A,-4.9912,-0.4112,-1.3986,-1.2551,-1.3361,-0.79,0.43,-1.6366,-1.7267,-0.9379,0.5102,-1.3588,-0.61,0.72
2025-12-10T23:38:47.837432,A,-4.8848,-0.4094,-1.3268,-1.1516,-1.3222,-0.80,0.42,-1.6329,-1.6579,-0.9775,0.5220,-1.3163,-0.59,0.67
2025-12-10T23:38:47.837432,A,-4.8356,-0.4077,-1.1886,-1.1505,-1.2798,-0.81,0.46,-1.5094,-1.6717,-1.0868,0.5172,-1.2487,-0.62,0.70
2025-12-10T23:38:47.837432,A,-4.9117,-0.4211,-1.0670,-1.3141,-1.3623,-0.79,0.47,-1.2360,-1.6982,-1.0475,0.7521,-1.2488,-0.60,0.73
2025-12-10T23:38:47.837432,A,-4.9779,-0.5078,-1.1697,-1.4579,-1.3448,-0.79,0.45,-1.2499,-1.6908,-1.0726,0.5840,-1.1287,-0.59,0.74
2025-12-10T23:38:47.837432,A,-4.8857,-0.5390,-1.3349,-1.3592,-1.4191,-0.80,0.45,-1.2467,-1.7137,-1.0494,0.4813,-1.1277,-0.54,0.69
2025-12-10T23:38:47.837432,A,-4.9988,-0.4015,-1.1801,-1.3773,-1.5143,-0.80,0.45,-1.2435,-1.7481,-1.1034,0.6452,-1.2460,-0.57,0.73
2025-12-10T23:38:47.837432,A,-4.9479,-0.4005,-1.1789,-1.2731,-1.4928,-0.80,0.42,-1.2253,-1.8674,-1.1653,0.5196,-0.9456,-0.59,0.74
2025-12-10T23:38:47.837432,A,-4.9774,-0.4295,-1.2226,-1.2713,-1.3988,-0.80,0.45,-1.1340,-1.9116,-1.2043,0.4241,-1.0555,-0.61,0.71
2025-12-10T23:38:47.837432,A,-4.8380,-0.5299,-1.0510,-1.2995,-1.5258,-0.80,0.43,-1.2629,-2.0094,-1.3278,0.3402,-0.9871,-0.57,0.72
2025-12-10T23:38:47.837432,A,-4.8496,-0.7080,-0.8851,-1.3092,-1.5175,-0.80,0.43,-1.3158,-2.1245,-1.2262,0.2964,-1.0164,-0.61,0.71
2025-12-10T23:38:47.837432,A,-4.8444,-0.6847,-0.9040,-1.3625,-1.4500,-0.80,0.44,-1.3467,-2.2097,-1.3012,0.2727,-1.1165,-0.58,0.74
2025-12-10T23:38:47.837432,A,-4.7942,-0.6492,-0.9805,-1.3493,-1.5553,-0.80,0.43,-1.3285,-2.0295,-1.0226,0.4613,-0.8152,-0.62,0.73
2025-12-10T23:38:47.837432,A,-4.7345,-0.6628,-1.0625,-1.4724,-1.4828,-0.80,0.40,-1.3718,-1.8407,-0.9871,0.3873,-0.8496,-0.64,0.76
2025-12-10T23:38:47.837432,A,-4.7414,-0.6297,-0.9996,-1.6853,-1.3440,-0.81,0.44,-1.4094,-1.7492,-1.0753,0.3671,-0.8944,-0.62,0.76
2025-12-10T23:38:47.837432,A,-4.6420,-0.5706,-1.0042,-1.5575,-1.3268,-0.80,0.43,-1.4418,-1.8028,-1.0027,0.3792,-0.6642,-0.59,0.71
2025-12-10T23:38:47.837432,A,-4.6439,-0.5634,-0.9631,-1.4151,-1.2664,-0.80,0.42,-1.4847,-1.7147,-1.0583,0.3896,-0.5966,-0.64,0.69
2025-12-10T23:38:47.837432,A,-4.6301,-0.6021,-1.0019,-1.3797,-1.3182,-0.81,0.45,-1.4769,-1.6666,-1.0618,0.2491,-0.4922,-0.59,0.74
2025-12-10T23:38:47.837432,A,-4.6774,-0.6210,-1.0058,-1.2734,-1.3635,-0.81,0.41,-1.4995,-1.6687,-1.0047,0.1556,-0.4753,-0.62,0.71
2025-12-10T23:38:47.837432,A,-4.6734,-0.5476,-0.9492,-1.2997,-1.3132,-0.79,0.44,-1.6085,-1.6551,-1.0141,0.0287,-0.5499,-0.61,0.72
2025-12-10T23:38:47.837432,A,-4.6544,-0.4531,-1.0042,-1.0829,-1.3438,-0.81,0.45,-1.4343,-1.4779,-0.9023,-0.0528,-0.4656,-0.60,0.72
2025-12-10T23:38:47.837432,A,-4.6820,-0.4749,-1.0525,-1.0570,-1.1908,-0.80,0.43,-1.4604,-1.5014,-0.8637,-0.0196,-0.6009,-0.59,0.71
2025-12-10T23:38:47.837432,A,-4.7807,-0.4939,-0.9749,-0.8093,-1.1759,-0.81,0.44,-1.4081,-1.5365,-0.9642,-0.1399,-0.5399,-0.60,0.73
2025-12-10T23:38:47.837432,A,-4.7320,-0.4657,-0.9965,-0.8013,-1.2827,-0.80,0.41,-1.3616,-1.5667,-0.7379,-0.1258,-0.5461,-0.61,0.71
2025-12-10T23:38:47.837432,A,-4.8834,-0.3958,-0.8804,-1.0039,-1.2564,-0.80,0.43,-1.4250,-1.6375,-0.5690,-0.1284,-0.6260,-0.59,0.73
2025-12-10T23:38:47.837432,A,-4.6263,-0.4243,-0.8832,-0.7024,-1.2033,-0.81,0.44,-1.2260,-1.6391,-0.4954,-0.1306,-0.5464,-0.61,0.71
2025-12-10T23:38:47.837432,A,-4.6545,-0.4493,-0.9455,-0.6620,-1.1864,-0.81,0.44,-1.2004,-1.5952,-0.5204,-0.1624,-0.6109,-0.60,0.73
2025-12-10T23:38:47.837432,A,-4.5589,-0.4712,-0.9402,-0.7164,-1.2463,-0.81,0.48,-1.2673,-1.5261,-0.5271,0.1089,-0.5327,-0.58,0.71
2025-12-10T23:38:47.837432,A,-4.6541,-0.5203,-0.9954,-0.8090,-1.2389,-0.80,0.41,-1.2357,-1.5696,-0.5478,-0.0719,-0.5686,-0.59,0.68
2025-12-10T23:38:47.837432,A,-4.6173,-0.4136,-1.0138,-0.9353,-1.1573,-0.79,0.44,-1.1777,-1.4577,-0.5359,-0.1557,-0.6148,-0.59,0.69
