timestamp,letter,A1_v1,A1_v2,A1_v3,A1_v4,A1_v5,A1_v6,A1_v7,A1_v8,A1_v9,A1_v10,A1_v11,A1_v12,A2_v1,A2_v2,A2_v3,A2_v4,A2_v5,A2_v6,A2_v7,A2_v8,A2_v9,A2_v10,A2_v11,A2_v12
2025-12-13T14:01:56.721192,A,385.375,0,345.875,0,406.5,0,406.25,0,358.25,0,-0.189,0.349,270,0,405.125,0,357.375,0,397.25,0,400.75,0,0.022,-0.184
2025-12-13T14:01:56.721192,A,385.345,-0.03,346.01,0.135,406.395,-0.105,406.34,0.09,358.205,-0.045,-0.195,0.356,269.22,-0.778,405.44,0.314,357.615,0.239,397.055,-0.194,400.825,0.075,0.024,-0.159
2025-12-13T14:01:56.721192,A,385.289,-0.086,346.039,0.163,406.243,-0.256,406.104,-0.146,358.165,-0.084,-0.192,0.336,268.534,-1.46,405.327,0.201,357.781,0.404,397.018,-0.23,400.891,0.14,0.037,-0.165
2025-12-13T14:01:56.721192,A,385.569,0.194,346.274,0.397,406.063,-0.434,405.942,-0.307,358.161,-0.089,-0.192,0.312,268.005,-1.983,405.213,0.086,357.927,0.549,397.136,-0.112,400.979,0.228,0.043,-0.181
2025-12-13T14:01:56.721192,A,385.486,0.11,346.151,0.273,405.906,-0.59,405.709,-0.539,358.141,-0.108,-0.2,0.324,267.494,-2.486,405.097,-0.029,358.131,0.75,396.985,-0.263,401.012,0.26,0.019,-0.168
2025-12-13T14:01:56.721192,A,385.427,0.052,346.118,0.239,405.797,-0.697,405.534,-0.712,358.394,0.145,-0.2,0.328,267.165,-2.807,405.086,-0.041,358.22,0.837,397.002,-0.245,401.13,0.377,0.009,-0.153
2025-12-13T14:01:56.721192,A,385.331,-0.044,346.149,0.269,405.716,-0.775,405.41,-0.833,358.437,0.187,-0.207,0.331,266.71,-3.252,405.27,0.143,358.314,0.928,397.031,-0.215,401.115,0.36,-0.003,-0.152
2025-12-13T14:01:56.721192,A,385.291,-0.084,346.206,0.326,405.766,-0.724,405.33,-0.909,358.385,0.134,-0.182,0.359,266.265,-3.686,405.238,0.111,358.306,0.917,397.133,-0.113,401.191,0.435,0.001,-0.155
2025-12-13T14:01:56.721192,A,385.211,-0.163,346.421,0.539,405.794,-0.693,405.246,-0.991,358.323,0.073,-0.18,0.342,265.888,-4.05,405.074,-0.053,358.464,1.072,397.222,-0.024,401.138,0.381,0.03,-0.162
2025-12-13T14:01:56.723219,A,385.111,-0.263,346.206,0.323,405.728,-0.756,405.276,-0.958,358.345,0.094,-0.199,0.354,265.811,-4.115,405.08,-0.046,358.634,1.238,397.18,-0.065,401.226,0.468,0.054,-0.11
2025-12-13T14:01:56.723219,A,384.903,-0.47,346.466,0.581,405.626,-0.856,405.228,-1.003,358.558,0.307,-0.249,0.275,265.609,-4.304,405.236,0.109,358.693,1.293,397.263,0.018,401.214,0.455,0.102,-0.362
2025-12-13T14:01:56.723219,A,384.539,-0.831,346.515,0.629,405.551,-0.928,405.186,-1.042,358.701,0.448,-0.412,0.31,265.326,-4.573,405.567,0.439,358.805,1.401,397.172,-0.074,401.233,0.473,-0.076,-0.223
2025-12-13T14:01:56.723219,A,384.205,-1.162,346.543,0.655,405.665,-0.812,405.208,-1.016,358.857,0.602,-0.448,0.352,265.062,-4.823,405.604,0.474,358.723,1.315,397.016,-0.228,401.325,0.563,-0.228,-0.249
2025-12-13T14:01:56.723219,A,384.015,-1.347,346.538,0.648,405.63,-0.844,405.213,-1.008,358.814,0.558,-0.498,0.333,264.724,-5.145,405.547,0.416,358.636,1.225,397.074,-0.17,401.331,0.567,-0.277,-0.145
