timestamp,letter,A1_v1,A1_v2,A1_v3,A1_v4,A1_v5,A1_v6,A1_v7,A1_v8,A1_v9,A1_v10,A1_v11,A1_v12,A2_v1,A2_v2,A2_v3,A2_v4,A2_v5,A2_v6,A2_v7,A2_v8,A2_v9,A2_v10,A2_v11,A2_v12
2025-12-13T15:45:35.484171,A,384.574,0.097,346.665,0.594,404.757,0.249,402.656,0.132,357.931,0.328,-0.645,0.605,263.028,0.258,402.339,-0.449,357.678,0.043,395.431,0.095,398.363,0.062,-0.444,0.233
2025-12-13T15:45:35.484171,A,384.31,-0.166,346.435,0.363,404.726,0.218,402.622,0.098,357.879,0.275,-0.379,0.593,262.964,0.194,402.508,-0.279,357.567,-0.068,395.38,0.043,398.47,0.168,-0.402,0.22
2025-12-13T15:45:35.484171,A,384.273,-0.203,346.593,0.519,404.789,0.28,402.757,0.233,358.284,0.678,-0.401,0.49,262.879,0.108,402.522,-0.264,357.439,-0.195,395.304,-0.032,398.443,0.141,-0.365,0.215
2025-12-13T15:45:35.484171,A,384.495,0.02,346.567,0.492,404.754,0.245,402.726,0.201,358.235,0.627,-0.425,0.693,262.683,-0.087,402.834,0.048,357.626,-0.008,395.253,-0.083,398.435,0.133,-0.232,0.163
2025-12-13T15:45:35.484171,A,384.45,-0.025,346.499,0.422,404.649,0.139,402.984,0.458,358.162,0.552,-0.411,0.697,262.616,-0.154,402.839,0.053,357.551,-0.083,395.282,-0.053,398.278,-0.025,-0.218,0.133
2025-12-13T15:45:35.484171,A,384.291,-0.183,346.394,0.316,404.526,0.016,403.136,0.608,358.322,0.71,-0.57,0.381,262.602,-0.167,402.889,0.102,357.605,-0.029,395.143,-0.192,398.229,-0.073,-0.187,0.212
2025-12-13T15:45:35.484171,A,384.256,-0.218,346.482,0.403,404.523,0.013,403.075,0.545,358.299,0.685,-0.589,0.56,262.68,-0.089,402.857,0.07,357.562,-0.071,395.126,-0.208,398.322,0.02,-0.27,0.326
2025-12-13T15:45:35.485698,A,384.166,-0.307,346.364,0.284,404.46,-0.05,403.096,0.564,358.143,0.527,-0.784,0.45,262.718,-0.051,402.874,0.087,357.54,-0.093,395.081,-0.253,398.418,0.116,-0.306,0.487
2025-12-13T15:45:35.485698,A,384.026,-0.446,346.515,0.434,404.36,-0.15,402.964,0.431,358.021,0.404,-0.745,0.301,262.707,-0.062,402.904,0.117,357.535,-0.098,395.326,-0.007,398.368,0.065,-0.347,0.509
2025-12-13T15:45:35.485698,A,384.158,-0.313,346.483,0.401,404.212,-0.297,402.849,0.315,357.913,0.296,-0.622,0.316,262.727,-0.041,402.751,-0.037,357.546,-0.087,395.362,0.028,398.369,0.066,-0.35,0.415
2025-12-13T15:45:35.485698,A,384.199,-0.271,346.38,0.297,404.231,-0.277,402.822,0.287,357.849,0.23,-0.719,0.371,262.79,0.021,402.721,-0.067,357.555,-0.077,395.454,0.12,398.505,0.201,-0.397,0.282
2025-12-13T15:45:35.486392,A,384.04,-0.429,346.62,0.535,404.128,-0.378,402.873,0.338,357.807,0.188,-0.678,0.595,262.77,0.002,402.799,0.012,357.639,0.006,395.639,0.304,398.504,0.2,-0.536,0.19
2025-12-13T15:45:35.486392,A,383.945,-0.522,346.485,0.4,403.978,-0.527,402.858,0.322,357.71,0.091,-0.679,0.646,262.573,-0.195,402.838,0.051,357.397,-0.235,395.428,0.092,398.489,0.184,-0.743,0.183
2025-12-13T15:45:35.486392,A,383.772,-0.693,346.292,0.206,404.011,-0.493,402.83,0.293,357.505,-0.114,-0.579,0.626,262.369,-0.398,402.828,0.04,357.379,-0.251,395.286,-0.049,398.505,0.2,-0.915,0.18
2025-12-13T15:45:35.486392,A,383.559,-0.903,345.987,-0.099,403.634,-0.867,402.626,0.088,357.144,-0.473,-0.552,0.729,262.115,-0.65,402.788,0.001,357.154,-0.475,395.087,-0.248,398.189,-0.116,-0.798,0.217
2025-12-13T15:45:35.486392,A,382.982,-1.476,345.434,-0.651,402.943,-1.553,402.566,0.028,356.632,-0.982,-0.33,0.361,261.681,-1.081,402.964,0.176,356.79,-0.836,394.626,-0.706,397.837,-0.467,-0.806,0.209
2025-12-13T15:45:35.486392,A,382.174,-2.277,344.557,-1.523,402.275,-2.215,402.603,0.065,356.061,-1.549,-0.547,0.492,261.164,-1.593,403.073,0.284,356.141,-1.482,393.801,-1.526,397.046,-1.253,-0.838,0.248
2025-12-13T15:45:35.487400,A,381.253,-3.188,343.695,-2.378,401.597,-2.884,402.545,0.007,355.349,-2.254,-0.506,0.427,260.41,-2.34,403.004,0.215,355.269,-2.347,392.835,-2.485,396.246,-2.048,-0.782,0.333
2025-12-13T15:45:35.487400,A,380.203,-4.226,342.936,-3.127,401.045,-3.425,402.63,0.092,354.782,-2.813,-0.55,0.585,259.985,-2.756,402.989,0.199,354.771,-2.835,391.91,-3.4,395.466,-2.819,-0.765,0.287
2025-12-13T15:45:35.487400,A,379.294,-5.12,342.329,-3.723,400.5,-3.959,402.749,0.21,354.253,-3.331,-0.477,0.548,259.402,-3.329,402.915,0.125,354.124,-3.472,391.276,-4.022,395.02,-3.255,-0.769,0.248
2025-12-13T15:45:35.487400,A,378.493,-5.902,341.765,-4.274,400.11,-4.336,402.629,0.09,353.803,-3.77,-0.573,0.62,258.844,-3.876,402.955,0.164,353.599,-3.985,390.793,-4.492,394.493,-3.771,-0.861,0.237
2025-12-13T15:45:35.487400,A,377.849,-6.527,341.178,-4.846,399.797,-4.635,402.614,0.074,353.916,-3.646,-0.64,0.532,258.398,-4.309,403.036,0.244,353.137,-4.434,390.322,-4.947,394.134,-4.118,-0.844,0.244
2025-12-13T15:45:35.488400,A,377.267,-7.087,340.721,-5.287,399.461,-4.956,402.45,-0.089,353.656,-3.894,-0.835,0.621,258.14,-4.553,403.196,0.403,352.686,-4.871,389.759,-5.494,393.653,-4.585,-0.924,0.171
2025-12-13T15:45:35.488400,A,376.8,-7.532,340.44,-5.552,399.061,-5.34,402.681,0.142,353.503,-4.035,-0.802,0.512,257.868,-4.811,403.038,0.244,352.288,-5.252,389.413,-5.823,393.304,-4.919,-0.973,0.236
2025-12-13T15:45:35.488400,A,376.419,-7.889,340.087,-5.887,399.023,-5.361,402.689,0.149,353.382,-4.143,-0.893,0.618,257.674,-4.99,403.033,0.239,351.984,-5.54,389.093,-6.124,393.043,-5.165,-1.012,0.278
2025-12-13T15:45:35.488400,A,376.054,-8.229,339.882,-6.074,398.811,-5.557,402.742,0.201,353.156,-4.356,-0.785,0.554,257.458,-5.19,403.044,0.249,351.626,-5.88,388.887,-6.311,392.843,-5.349,-0.943,0.208
2025-12-13T15:45:35.489406,A,375.822,-8.435,340.076,-5.862,398.653,-5.697,402.623,0.082,353.138,-4.362,-0.922,0.511,257.373,-5.259,403.024,0.228,351.611,-5.878,388.751,-6.428,392.772,-5.403,-0.939,0.189
2025-12-13T15:45:35.489406,A,375.724,-8.509,339.902,-6.018,398.68,-5.654,402.578,0.037,353.001,-4.485,-0.828,0.534,257.253,-5.363,402.961,0.165,351.567,-5.903,388.615,-6.543,392.574,-5.584,-0.934,0.214
2025-12-13T15:45:35.489912,A,375.532,-8.674,339.944,-5.958,398.598,-5.718,402.854,0.312,353.001,-4.471,-0.901,0.478,257.133,-5.467,402.996,0.199,351.484,-5.968,388.557,-6.582,392.475,-5.666,-0.946,0.349
2025-12-13T15:45:35.489912,A,375.408,-8.772,339.77,-6.113,398.497,-5.802,402.811,0.269,352.971,-4.488,-0.819,0.454,257.102,-5.481,403.086,0.288,351.411,-6.023,388.595,-6.525,392.388,-5.736,-0.966,0.342
2025-12-13T15:45:35.489912,A,375.254,-8.899,339.588,-6.277,398.437,-5.844,402.789,0.245,352.764,-4.68,-0.803,0.515,257.09,-5.477,403.151,0.352,351.407,-6.01,388.568,-6.531,392.371,-5.735,-0.857,0.265
2025-12-13T15:45:35.489912,A,375.164,-8.962,339.487,-6.358,398.445,-5.819,402.859,0.315,352.703,-4.728,-0.883,0.432,257.109,-5.441,403.028,0.228,351.298,-6.1,388.575,-6.505,392.237,-5.852,-0.843,0.299
2025-12-13T15:45:35.489912,A,375.129,-8.97,339.369,-6.457,398.421,-5.825,402.861,0.316,352.813,-4.603,-0.838,0.403,257.096,-5.438,403.009,0.209,351.322,-6.058,388.476,-6.584,392.223,-5.848,-0.883,0.263
2025-12-13T15:45:35.489912,A,375.248,-8.824,339.295,-6.512,398.461,-5.768,402.923,0.376,352.866,-4.537,-0.857,0.501,257.069,-5.448,402.948,0.148,351.374,-5.988,388.479,-6.562,392.257,-5.797,-0.878,0.409
2025-12-13T15:45:35.489912,A,375.219,-8.827,339.139,-6.647,398.66,-5.552,402.812,0.265,352.897,-4.493,-0.811,0.476,257.001,-5.5,402.969,0.168,351.419,-5.925,388.437,-6.584,392.316,-5.721,-0.866,0.44
2025-12-13T15:45:35.489912,A,375.252,-8.767,339.152,-6.614,398.671,-5.525,402.715,0.167,353.089,-4.287,-0.85,0.405,256.986,-5.498,403.243,0.441,351.413,-5.913,388.444,-6.557,392.323,-5.697,-0.812,0.38
2025-12-13T15:45:35.489912,A,375.327,-8.666,339.209,-6.538,398.861,-5.319,402.779,0.23,353.034,-4.33,-0.811,0.457,257.123,-5.346,403.274,0.47,351.529,-5.78,388.526,-6.456,392.329,-5.673,-0.851,0.346
2025-12-13T15:45:35.489912,A,375.273,-8.694,339.139,-6.588,398.757,-5.406,402.79,0.241,353.029,-4.321,-0.855,0.661,257.258,-5.195,403.226,0.421,351.645,-5.646,388.598,-6.365,392.26,-5.726,-0.86,0.298
2025-12-13T15:45:35.489912,A,375.33,-8.611,339.197,-6.51,398.801,-5.346,402.725,0.176,353.041,-4.297,-0.817,0.563,257.227,-5.21,403.169,0.363,351.688,-5.587,388.751,-6.193,392.379,-5.59,-0.889,0.311
2025-12-13T15:45:35.489912,A,375.321,-8.595,339.144,-6.544,398.825,-5.306,402.773,0.223,353.081,-4.244,-0.822,0.505,257.23,-5.192,403.194,0.386,351.725,-5.533,388.946,-5.98,392.453,-5.499,-0.868,0.239
2025-12-13T15:45:35.489912,A,375.387,-8.503,339.186,-6.482,398.786,-5.329,402.561,0.01,353.116,-4.196,-0.763,0.5,257.307,-5.099,403.065,0.257,351.728,-5.513,388.937,-5.971,392.444,-5.492,-0.923,0.422
2025-12-13T15:45:35.489912,A,375.476,-8.389,339.314,-6.335,398.812,-5.287,402.643,0.093,352.967,-4.332,-0.894,0.484,257.345,-5.045,403.103,0.294,351.731,-5.494,388.78,-6.11,392.48,-5.438,-0.923,0.319
2025-12-13T15:45:35.489912,A,375.524,-8.316,339.216,-6.414,398.849,-5.234,402.626,0.075,352.941,-4.345,-1.225,0.357,257.529,-4.847,402.985,0.176,351.748,-5.46,388.746,-6.125,392.363,-5.539,-0.882,0.287
2025-12-13T15:45:35.489912,A,375.566,-8.249,339.16,-6.45,398.778,-5.29,402.596,0.045,352.888,-4.385,-0.903,0.715,257.54,-4.821,402.867,0.057,351.838,-5.354,388.762,-6.091,392.514,-5.372,-0.982,0.427
2025-12-13T15:45:35.489912,A,375.813,-7.978,339.156,-6.435,398.759,-5.293,402.629,0.078,353.052,-4.208,-0.819,0.523,257.506,-4.841,402.838,0.028,351.963,-5.214,388.82,-6.014,392.453,-5.417,-1.005,0.331
2025-12-13T15:45:35.489912,A,375.895,-7.872,339.152,-6.419,398.728,-5.308,402.644,0.093,353.495,-3.753,-0.841,0.37,257.79,-4.543,402.737,-0.072,352.192,-4.97,388.857,-5.96,392.533,-5.321,-0.988,0.238
2025-12-13T15:45:35.489912,A,376.043,-7.701,339.239,-6.314,398.791,-5.229,402.657,0.105,353.481,-3.757,-0.743,0.434,257.83,-4.49,402.859,0.049,352.169,-4.978,389.024,-5.775,392.664,-5.174,-0.93,0.385
2025-12-13T15:45:35.493403,A,376.023,-7.698,339.27,-6.264,398.756,-5.248,402.713,0.161,353.423,-3.803,-0.864,0.604,257.79,-4.516,402.846,0.036,352.119,-5.013,389.066,-5.716,392.705,-5.118,-0.915,0.376
2025-12-13T15:45:35.493403,A,376.02,-7.677,339.493,-6.023,398.695,-5.293,402.672,0.12,353.432,-3.782,-0.843,0.536,257.801,-4.492,402.924,0.114,352.165,-4.952,389.013,-5.752,392.725,-5.083,-0.911,0.216
2025-12-13T15:45:35.493403,A,376.333,-7.343,339.464,-6.034,398.747,-5.226,402.532,-0.021,353.486,-3.718,-0.833,0.549,257.84,-4.44,402.873,0.063,352.235,-4.867,389.027,-5.721,392.803,-4.99,-0.904,0.312
2025-12-13T15:45:35.493944,A,376.413,-7.241,339.483,-5.997,398.792,-5.165,402.708,0.155,353.367,-3.825,-0.826,0.489,257.829,-4.437,402.769,-0.042,352.222,-4.866,389.068,-5.662,392.797,-4.981,-0.928,0.24
2025-12-13T15:45:35.493944,A,376.573,-7.059,339.53,-5.932,398.832,-5.11,402.803,0.249,353.368,-3.812,-0.828,0.45,257.894,-4.359,402.736,-0.074,352.735,-4.339,389.045,-5.668,392.791,-4.971,-0.876,0.214
2025-12-13T15:45:35.493944,A,376.534,-7.077,339.602,-5.843,398.942,-4.984,402.872,0.317,353.519,-3.651,-0.822,0.52,257.817,-4.423,402.768,-0.042,352.647,-4.414,389.46,-5.238,392.711,-5.036,-0.906,0.227
2025-12-13T15:45:35.493944,A,376.44,-7.149,339.679,-5.748,399.069,-4.843,402.887,0.332,353.532,-3.627,-0.842,0.565,257.764,-4.462,402.736,-0.074,352.719,-4.329,389.42,-5.262,392.656,-5.076,-0.927,0.327
2025-12-13T15:45:35.493944,A,376.372,-7.195,339.673,-5.737,399.046,-4.852,402.901,0.344,353.528,-3.62,-0.824,0.551,257.732,-4.48,402.782,-0.027,352.708,-4.327,389.414,-5.252,392.787,-4.93,-0.931,0.321
2025-12-13T15:45:35.493944,A,376.403,-7.144,339.652,-5.74,399.07,-4.813,402.942,0.385,353.45,-3.687,-0.817,0.564,257.749,-4.45,402.749,-0.061,352.698,-4.324,389.35,-5.301,393.188,-4.516,-0.891,0.336
2025-12-13T15:45:35.493944,A,376.354,-7.17,339.649,-5.726,399.077,-4.792,403.054,0.495,353.651,-3.476,-0.81,0.531,257.615,-4.571,402.674,-0.135,352.764,-4.245,389.413,-5.222,393.135,-4.555,-0.917,0.341
2025-12-13T15:45:35.493944,A,376.237,-7.266,339.526,-5.832,399.023,-4.831,403.048,0.487,353.693,-3.423,-0.82,0.513,257.631,-4.541,402.773,-0.036,352.882,-4.115,389.468,-5.151,393.044,-4.632,-0.897,0.312
2025-12-13T15:45:35.493944,A,376.238,-7.243,339.688,-5.653,399.05,-4.79,403.042,0.48,353.789,-3.316,-0.814,0.522,257.78,-4.379,402.845,0.036,352.822,-4.163,389.502,-5.102,393.009,-4.653,-0.899,0.286
