timestamp,letter,A1_v1,A1_v2,A1_v3,A1_v4,A1_v5,A1_v6,A1_v7,A1_v8,A2_v1,A2_v2,A2_v3,A2_v4,A2_v5,A2_v6,A2_v7,A2_v8
2025-12-13T18:11:18.050009,A,2.157,1.896,3.180,-1.427,1.011,0.416,0.205,0.905,-2.549,-1.048,-0.935,-2.713,1.009,0.384,0.184,-0.848
2025-12-13T18:11:18.050009,A,2.048,1.939,3.043,-1.378,1.216,0.404,0.203,0.892,-2.402,-1.085,-0.823,-2.636,0.982,0.413,0.196,-0.919
2025-12-13T18:11:18.050009,A,2.049,2.200,3.114,-1.393,1.484,0.415,0.203,0.904,-2.446,-1.097,-0.821,-2.702,1.053,0.406,0.153,-0.888
2025-12-13T18:11:18.050009,A,2.518,2.085,3.174,-1.462,1.505,0.408,0.194,0.896,-2.427,-1.013,-0.651,-2.551,0.982,0.406,0.169,-0.894
2025-12-13T18:11:18.050009,A,2.336,2.231,3.226,-1.446,1.523,0.396,0.201,0.903,-2.692,-1.167,-0.638,-2.461,1.071,0.399,0.183,-0.887
2025-12-13T18:11:18.050009,A,2.274,2.430,3.082,-1.338,1.332,0.394,0.198,0.910,-2.730,-0.942,-0.627,-2.328,1.129,0.376,0.234,-0.891
2025-12-13T18:11:18.050009,A,2.279,2.487,2.978,-1.378,1.413,0.420,0.184,0.920,-2.762,-0.938,-0.298,-2.252,0.859,0.395,0.175,-0.912
2025-12-13T18:11:18.050009,A,2.413,2.310,3.040,-1.299,1.426,0.434,0.175,0.918,-2.640,-0.916,-0.300,-2.000,0.836,0.404,0.177,-0.886
2025-12-13T18:11:18.050009,A,2.190,2.366,3.111,-1.045,1.287,0.422,0.165,0.909,-2.367,-0.915,-0.302,-1.580,0.947,0.417,0.182,-0.884
2025-12-13T18:11:18.050009,A,2.095,2.357,3.134,-1.035,1.319,0.420,0.170,0.904,-2.322,-1.140,-0.360,-1.691,0.686,0.408,0.190,-0.882
2025-12-13T18:11:18.050009,A,2.182,2.369,3.042,-1.195,1.009,0.418,0.178,0.913,-2.284,-0.994,-0.447,-2.011,0.689,0.398,0.182,-0.887
2025-12-13T18:11:18.050009,A,2.031,2.360,2.625,-1.238,1.008,0.421,0.186,0.913,-2.271,-0.945,-0.258,-1.964,0.672,0.392,0.179,-0.894
2025-12-13T18:11:18.050009,A,2.147,2.427,2.646,-1.218,0.969,0.414,0.179,0.901,-2.278,-1.109,-0.172,-1.905,0.752,0.399,0.177,-0.902
2025-12-13T18:11:18.050009,A,2.114,2.409,2.852,-1.238,0.992,0.411,0.190,0.909,-2.303,-1.061,-0.137,-1.949,0.801,0.390,0.177,-0.880
2025-12-13T18:11:18.050009,A,2.180,2.488,2.801,-1.274,1.219,0.413,0.182,0.909,-2.325,-0.645,-0.144,-1.068,0.993,0.394,0.190,-0.899
2025-12-13T18:11:18.050009,A,2.254,2.554,2.777,-1.136,1.186,0.409,0.176,0.910,-2.324,-0.630,-0.151,-1.237,1.044,0.394,0.187,-0.887
2025-12-13T18:11:18.050009,A,2.243,2.911,2.888,-1.037,1.177,0.407,0.182,0.907,-2.286,-0.654,0.238,-1.382,1.030,0.391,0.174,-0.895
2025-12-13T18:11:18.050009,A,2.008,2.840,3.076,-1.104,1.206,0.417,0.192,0.907,-2.385,-0.655,0.361,-1.392,1.075,0.397,0.190,-0.875
2025-12-13T18:11:18.050009,A,1.921,2.722,3.048,-1.066,1.438,0.418,0.179,0.911,-2.394,-0.713,0.223,-1.531,0.982,0.397,0.191,-0.900
2025-12-13T18:11:18.050009,A,1.866,2.585,3.043,-1.203,1.391,0.417,0.185,0.900,-2.514,-0.837,0.236,-1.500,0.959,0.389,0.181,-0.880
2025-12-13T18:11:18.050009,A,1.837,2.562,3.339,-1.282,1.351,0.420,0.195,0.911,-2.522,-0.736,0.360,-1.455,0.902,0.396,0.184,-0.897
2025-12-13T18:11:18.050009,A,2.113,2.449,3.366,-1.311,1.317,0.409,0.180,0.905,-2.436,-0.650,0.203,-1.416,1.079,0.401,0.186,-0.892
2025-12-13T18:11:18.050009,A,2.179,2.466,3.238,-1.336,1.363,0.409,0.189,0.906,-2.081,-0.803,0.182,-1.459,1.191,0.393,0.194,-0.887
2025-12-13T18:11:18.050009,A,2.292,2.648,3.317,-1.283,1.478,0.405,0.184,0.915,-2.135,-0.876,0.277,-1.420,1.268,0.393,0.198,-0.882
2025-12-13T18:11:18.050009,A,2.349,2.653,3.572,-1.537,1.425,0.407,0.180,0.900,-2.051,-0.788,0.207,-1.555,1.146,0.392,0.192,-0.887
2025-12-13T18:11:18.050009,A,2.380,2.620,3.601,-1.585,1.361,0.410,0.193,0.903,-2.110,-0.732,0.260,-1.295,1.193,0.387,0.197,-0.883
2025-12-13T18:11:18.050009,A,2.218,2.574,3.513,-1.437,1.382,0.413,0.180,0.919,-2.310,-0.891,0.175,-1.318,1.194,0.378,0.201,-0.892
2025-12-13T18:11:18.050009,A,2.362,2.515,3.476,-1.519,1.662,0.366,0.011,1.006,-2.574,-0.763,0.233,-1.450,1.308,0.358,0.147,-0.902
2025-12-13T18:11:18.050009,A,2.278,2.409,3.370,-1.400,1.675,0.062,-0.312,1.254,-2.405,-0.861,0.301,-1.562,1.312,0.471,-0.017,-1.018
2025-12-13T18:11:18.050009,A,2.113,2.413,3.410,-1.599,1.687,1.191,-0.728,1.432,-2.392,-0.663,0.265,-1.414,1.258,1.209,0.503,-1.802
2025-12-13T18:11:18.050009,A,2.048,2.491,3.182,-1.731,1.565,2.102,0.134,0.972,-2.362,-0.719,0.235,-1.157,1.156,0.975,0.781,-1.077
2025-12-13T18:11:18.050009,A,2.105,2.707,3.101,-1.600,1.461,1.565,0.457,0.934,-2.469,-0.486,0.078,-1.257,1.089,1.131,-0.686,-0.396
2025-12-13T18:11:18.050009,A,1.984,2.703,2.845,-1.356,1.430,1.332,-0.572,1.005,-2.671,-0.457,-0.131,-1.567,1.031,1.189,-0.361,-1.327
2025-12-13T18:11:18.050009,A,1.751,2.382,2.608,-1.300,1.215,0.606,-0.367,0.551,-2.712,-0.488,-0.233,-1.886,0.982,0.374,-0.596,-0.470
2025-12-13T18:11:18.050009,A,1.684,2.371,2.163,-1.195,0.789,-0.073,-0.007,0.371,-2.803,-0.739,-0.470,-2.589,0.678,0.237,-0.149,-0.700
2025-12-13T18:11:18.050009,A,1.233,1.799,1.428,-1.069,-0.154,2.017,0.125,0.902,-3.781,-0.672,-1.702,-3.749,-0.499,0.607,0.403,-0.863
2025-12-13T18:11:18.050009,A,0.343,0.806,0.391,-0.999,-0.994,-2.175,-1.560,-0.856,-4.780,-0.615,-3.125,-4.867,-1.425,-0.518,0.006,-0.055
2025-12-13T18:11:18.050009,A,-0.582,-0.018,-0.565,-0.734,-1.763,0.107,-0.422,-0.027,-5.461,-0.603,-3.959,-5.666,-2.231,-0.646,-0.121,0.268
2025-12-13T18:11:18.050009,A,-1.612,-0.626,-1.228,-0.695,-2.249,-0.709,0.463,-0.290,-6.059,-0.538,-4.519,-6.290,-3.065,-0.517,-0.033,0.091
2025-12-13T18:11:18.050009,A,-1.943,-1.329,-1.791,-0.382,-2.680,-0.574,0.520,-0.030,-6.511,-0.782,-4.956,-6.801,-3.831,-0.629,0.321,0.204
